,Employee ID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City
137,E02139,Elizabeth Rodriguez,Sr. Manager,Accounting,Corporate,Female,Latino,26.0,8/13/2021,"$140,756 ",13%,Brazil,Sao Paulo
138,E02140,Samuel Kumar,Network Engineer,IT,Corporate,Male,Asian,43.0,3/9/2009,"$85,261 ",0%,China,Chengdu
139,E02141,Zoe Maldonado,Vice President,Accounting,Corporate,Female,Latino,49.0,9/25/1998,"$198,222 ",34%,Brazil,Sao Paulo
140,E02142,Natalia Richardson,Sr. Manager,Sales,Research & Development,Female,Caucasian,36.0,6/2/2017,"$150,825 ",10%,United States,Columbus
141,E02143,Madeline Contreras,Analyst,Accounting,Corporate,Female,Latino,51.0,10/31/1995,"$59,311 ",0%,Brazil,Sao Paulo
142,E02144,Raelynn Espinoza,Analyst,Accounting,Corporate,Female,Latino,46.0,9/12/2002,"$44,411 ",0%,Brazil,Manaus
143,E02145,Noah Rojas,Analyst II,Finance,Manufacturing,Male,Latino,37.0,11/14/2019,"$69,408 ",0%,United States,Chicago
144,E02146,Jack Ramos,Sr. Analyst,Finance,Manufacturing,Male,Latino,43.0,6/17/2018,"$96,759 ",0%,Brazil,Manaus
145,E02147,Riley King,Director,Marketing,Specialty Products,Female,Black,53.0,8/10/2013,"$163,480 ",15%,United States,Columbus
146,E02148,Naomi Lee,System Administrator,IT,Research & Development,Female,Asian,58.0,4/15/2014,"$91,132 ",0%,China,Beijing
147,E02149,Caleb Jones,Manager,Marketing,Corporate,Male,Caucasian,57.0,7/10/1996,"$122,825 ",8%,United States,Miami
148,E02150,Peyton Alvarado,Service Desk Analyst,IT,Manufacturing,Female,Latino,31.0,10/24/2015,"$73,612 ",0%,Brazil,Rio de Janeiro
149,E02151,Luca Liu,Account Representative,Sales,Manufacturing,Male,Asian,40.0,6/22/2007,"$70,561 ",0%,China,Chongqing
150,E02152,Christian Johnson,Network Architect,IT,Research & Development,Male,Black,47.0,5/25/2008,"$60,331 ",0%,United States,Miami
151,E02153,Kinsley Gonzales,Systems Analyst,IT,Manufacturing,Female,Latino,51.0,5/5/2007,"$48,772 ",0%,Brazil,Rio de Janeiro
152,E02154,Hunter Yoon,Network Administrator,IT,Research & Development,Male,Asian,57.0,10/2/2020,"$90,599 ",0%,China,Chongqing
153,E02155,Elias Dixon,IT Coordinator,IT,Corporate,Male,Caucasian,46.0,11/22/2021,"$55,643 ",0%,United States,Columbus
154,E02156,Owen Guerrero,Field Engineer,Engineering,Corporate,Male,Latino,40.0,9/3/2022,"$97,938 ",0%,United States,Chicago
155,E02157,Lucas Lo,Analyst,Accounting,Research & Development,Male,Asian,43.0,1/18/2004,"$49,627 ",0%,China,Beijing
156,E02158,Hunter Mitchell,IT Coordinator,IT,Research & Development,Male,Caucasian,54.0,4/17/2021,"$58,137 ",0%,United States,Columbus
157,E02159,Eliana Bailey,Sr. Manager,Sales,Research & Development,Female,Black,27.0,1/2/2021,"$120,586 ",15%,United States,Seattle
158,E02160,Gabriella Choi,Analyst II,Accounting,Manufacturing,Female,Asian,56.0,8/15/1999,"$72,925 ",0%,United States,Seattle
159,E02161,Evelyn Alvarado,Network Administrator,IT,Specialty Products,Female,Latino,36.0,8/12/2022,"$83,548 ",0%,United States,Miami
160,E02162,Wyatt Chan,Manager,Finance,Manufacturing,Male,Asian,53.0,6/28/2005,"$128,226 ",8%,China,Shanghai
161,E02163,Sarah Johnson,Director,Engineering,Research & Development,Female,Caucasian,31.0,3/6/2018,"$150,653 ",24%,United States,Austin
162,E02164,Brooks Evans,Sr. Account Representative,Sales,Specialty Products,Male,Caucasian,45.0,5/4/2016,"$80,989 ",0%,United States,Columbus
163,E02165,Isaiah Dixon,Development Engineer,Engineering,Corporate,Male,Caucasian,29.0,2/27/2022,"$74,901 ",0%,United States,Austin
164,E02166,Addison Lo,Cloud Infrastructure Architect,IT,Research & Development,Female,Asian,27.0,8/28/2020,"$68,712 ",0%,United States,Columbus
165,E02167,Nolan Howard,Quality Engineer,Engineering,Research & Development,Male,Caucasian,26.0,4/18/2022,"$82,963 ",0%,United States,Austin
166,E02168,Paisley Dominguez,Engineering Manager,Engineering,Research & Development,Female,Latino,53.0,6/14/2009,"$123,203 ",10%,United States,Austin
167,E02169,Eliana Ho,Director,Accounting,Corporate,Female,Asian,64.0,9/5/2012,"$195,416 ",22%,China,Chengdu
168,E02170,Charles Miller,Director,Marketing,Manufacturing,Male,Black,32.0,6/7/2018,"$156,418 ",23%,United States,Columbus
169,E02171,Mia Jiang,Vice President,Accounting,Manufacturing,Female,Asian,42.0,6/19/2015,"$255,892 ",38%,United States,Miami
170,E02172,Skylar Parker,Technical Architect,IT,Corporate,Female,Caucasian,31.0,8/5/2018,"$96,195 ",0%,United States,Phoenix
171,E02173,Zoey Leung,Network Administrator,IT,Research & Development,Female,Asian,40.0,9/27/2007,"$77,637 ",0%,China,Chongqing
172,E02174,Austin Moua,Test Engineer,Engineering,Research & Development,Male,Asian,46.0,5/27/2003,"$79,294 ",0%,China,Chengdu
173,E02175,Christopher Robinson,Vice President,Finance,Specialty Products,Male,Caucasian,35.0,7/11/2016,"$254,287 ",31%,United States,Austin
174,E02176,Jayden Zhang,Enterprise Architect,IT,Specialty Products,Male,Asian,64.0,6/27/1994,"$70,516 ",0%,China,Chengdu
175,E02177,Cora Mejia,Sr. Analyst,Accounting,Research & Development,Female,Latino,58.0,6/7/2014,"$98,296 ",0%,Brazil,Manaus
176,E02178,Julian Harris,Operations Engineer,Engineering,Manufacturing,Male,Caucasian,61.0,12/30/2015,"$98,565 ",0%,United States,Phoenix
177,E02179,Anthony Espinoza,Analyst II,Finance,Manufacturing,Male,Latino,41.0,11/16/2020,"$59,149 ",0%,Brazil,Rio de Janeiro
178,E02180,Aubrey Ruiz,Analyst II,Marketing,Specialty Products,Female,Latino,25.0,1/11/2021,"$70,126 ",0%,Brazil,Sao Paulo
179,E02181,Piper Tang,Vice President,Human Resources,Manufacturing,Female,Asian,50.0,7/28/2011,"$216,787 ",33%,China,Beijing
180,E02182,Colton Delgado,Sr. Manager,Accounting,Research & Development,Male,Latino,61.0,10/22/2006,"$156,512 ",13%,Brazil,Rio de Janeiro
181,E02183,Madeline Chung,Analyst,Finance,Research & Development,Female,Asian,63.0,5/26/2011,"$44,444 ",0%,United States,Miami
182,E02184,Ariana Sharma,Vice President,Sales,Research & Development,Female,Asian,45.0,1/24/2014,"$257,725 ",34%,United States,Seattle
183,E02185,Julian Marquez,Sr. Manager,Accounting,Specialty Products,Male,Latino,33.0,9/14/2013,"$122,408 ",11%,Brazil,Rio de Janeiro
184,E02186,Logan Reyes,Quality Engineer,Engineering,Corporate,Male,Latino,62.0,4/10/1995,"$78,251 ",0%,Brazil,Sao Paulo
185,E02187,Penelope Mai,Vice President,Sales,Corporate,Female,Asian,43.0,5/2/2004,"$252,938 ",35%,United States,Austin
186,E02188,Ryan Reed,Sr. Analyst,Sales,Manufacturing,Male,Black,48.0,10/28/2019,"$90,296 ",0%,United States,Austin
187,E02189,Grayson Hwang,Sr. Analyst,Finance,Corporate,Male,Asian,42.0,4/23/2013,"$91,689 ",0%,China,Chongqing
188,E02190,Ezra Tan,Sr. Manager,Finance,Corporate,Male,Asian,49.0,12/22/1999,"$158,028 ",12%,China,Chengdu
189,E02191,David Ha,Sr. Account Representative,Sales,Corporate,Male,Asian,33.0,7/27/2022,"$89,759 ",0%,China,Chongqing
190,E02192,Lillian Vang,Technical Architect,IT,Research & Development,Female,Asian,39.0,9/13/2015,"$78,640 ",0%,China,Chongqing
191,E02193,Sofia Zhang,Analyst,Finance,Specialty Products,Female,Asian,51.0,1/11/2005,"$55,368 ",0%,United States,Chicago
192,E02194,Athena Daniels,Network Administrator,IT,Specialty Products,Female,Caucasian,49.0,5/23/2021,"$78,164 ",0%,United States,Seattle
193,E02195,Jameson Shin,Sr. Analyst,Marketing,Research & Development,Male,Asian,30.0,5/14/2020,"$76,014 ",0%,China,Chengdu
194,E02196,Everly Avila,Account Representative,Sales,Manufacturing,Female,Latino,41.0,11/13/2015,"$61,403 ",0%,United States,Miami
195,E02197,Liam Nelson,Technical Architect,IT,Research & Development,Male,Black,58.0,12/17/2010,"$80,720 ",0%,United States,Columbus
196,E02198,Theodore Lai,System Administrator,IT,Specialty Products,Male,Asian,55.0,12/27/2008,"$94,026 ",0%,China,Shanghai
197,E02199,Caroline Do,Analyst,Marketing,Research & Development,Female,Asian,40.0,3/6/2016,"$56,963 ",0%,United States,Chicago
198,E02200,Josiah Ramos,Manager,Finance,Specialty Products,Male,Latino,41.0,1/8/2014,"$113,246 ",6%,United States,Chicago
199,E02201,Colton Alexander,Field Engineer,Engineering,Research & Development,Male,Caucasian,45.0,8/9/2005,"$76,416 ",0%,United States,Phoenix
